№,БИН/ИИН,Наименование субъекта,Ссылка,Долгосрочный договор,Юридический адрес,Форма собственности,Регион оказания услуг,Дата включения в БД
66158,111040004730,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASTANA VISION""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66158,Нет,"г.Астана, район Нура",Частные организации,Акмолинская область,2025-03-17 16:55:42
66039,100840013328,"Товарищество с ограниченной ответственностью ""Жолболды-XXI""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66039,Нет,"Мангистауская область, Бейнеуский район, с.Бейнеу
Мангистауская область, Бейнеуский район, с.Бейнеу
Мангистауская область, Бейнеуский район, с.Бейнеу
Мангистауская область, Бейнеуский район, с.Бейнеу
Мангистауская область, Бейнеуский район, с.Бейнеу",Частные организации,Мангистауская область,2019-11-14 11:48:45
66138,131040005613,"ТОО ""АКВА ЛАБ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66138,Нет,"г.Алматы, Жетысуский район",Частные организации,Туркестанская область,2019-11-18 12:05:59
66091,240440005043,"Товарищество с ограниченной ответственностью ""Клиника Ибн Сина""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66091,Нет,"Атырауская область, Жылыойский район, г.Кульсары
Атырауская область, Жылыойский район, г.Кульсары",Частные организации,Атырауская область,2024-12-02 20:44:22
66027,130240021888,"РГП на ПХВ ""Национальный координационный центр экстренной медицины"" МЗ РК",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66027,Нет,"г.Астана, район Нура
г.Астана, район Нура",Субъекты квазигосударственного сектора,г.Астана,2025-02-22 09:32:58
65962,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65962,Нет,"г.Алматы, Алмалинский район",Частные организации,Кызылординская область,2019-11-15 17:27:29
66077,230540041626,"ТОО ""Нұрлы жүрек""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66077,Нет,"Кызылординская область, г.Кызылорда
Кызылординская область, г.Кызылорда",Частные организации,Кызылординская область,2023-11-17 10:34:56
66110,140940008540,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DIVES GROUP""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66110,Нет,"г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль
г.Астана, район Есиль",Частные организации,Кызылординская область,2023-02-24 17:19:06
66116,891118301244,ИП БАЙХАДАМОВ МУРАТ,https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66116,Нет,"Кызылординская область, г.Кызылорда",Частные организации,Кызылординская область,2025-03-14 18:05:56
65474,170540012262,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CITYМЕD""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65474,Нет,"г.Шымкент, Аль-Фарабийский район
г.Шымкент, Аль-Фарабийский район",Частные организации,г.Шымкент,2019-05-28 00:00:00
65586,191140017196,"Товарищество с ограниченной ответственностью ""Медцентр OTBASY""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65586,Нет,"г.Шымкент, Аль-Фарабийский район
г.Шымкент, Аль-Фарабийский район
г.Шымкент, Аль-Фарабийский район",Частные организации,г.Шымкент,2020-01-30 12:49:52
65588,860226400043,"ИП ""АК Ару""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65588,Нет,"г.Шымкент, Каратауский район
г.Шымкент, Каратауский район",Частные организации,г.Шымкент,2025-03-14 17:25:51
65934,100940011543,"""ЭСКУЛАП-VITA"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65934,Нет,"г.Шымкент, Енбекшинский район
г.Шымкент, Енбекшинский район
г.Шымкент, Енбекшинский район",Частные организации,г.Шымкент,2017-09-11 00:00:00
66001,080340020376,"ТОО ""INVIVO"" (ИНВИВО)",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66001,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Шымкент,2019-04-24 00:00:00
66053,210740034746,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТ МЕД""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66053,Нет,"г.Алматы, Медеуский район",Государственные организации,г.Шымкент,2025-03-14 17:21:22
66129,240640004479,"ТОО ""Амаль Мед""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66129,Нет,"область Жетісу, Коксуский район, с.Балпык би",Частные организации,область Жетісу,2024-08-02 20:29:03
65951,980440008215,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЕМИНА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65951,Нет,"Восточно-Казахстанская область, г.Усть-Каменогорск
Восточно-Казахстанская область, г.Усть-Каменогорск
Восточно-Казахстанская область, г.Усть-Каменогорск",Частные организации,Восточно-Казахстанская область,2020-08-18 19:49:18
66046,131040005613,"ТОО ""АКВА ЛАБ""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66046,Нет,"г.Алматы, Жетысуский район",Частные организации,Восточно-Казахстанская область,2025-03-14 11:24:06
63433,140640003300,"ТОО ""WHITE DENT""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/63433,Нет,"область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей
область Абай, г.Семей",Частные организации,область Абай,2022-12-09 15:43:43
66105,921240001297,"ТОО ""НЕЙРОН""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66105,Да,"Мангистауская область, г.Актау
Мангистауская область, г.Актау",Частные организации,Мангистауская область,2017-11-08 00:00:00
65953,141140016783,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZEIN INVEST""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65953,Нет,"г.Астана, район Алматы",Частные организации,г.Алматы,2021-05-14 17:38:50
66068,920640000796,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АССОЦИАЦИЯ МЕДИЦИНСКИХ И ИНЖЕНЕРНО-ТЕХНИЧЕСКИХ РАБОТНИКОВ УЛЬТРАЗВУКОВОЙ ДИАГНОСТИКИ ""ДАРИГА""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/66068,Нет,"г.Алматы, Бостандыкский район
г.Алматы, Бостандыкский район",Частные организации,г.Алматы,2017-09-11 00:00:00
65988,200940031995,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICAL CENTER ""ZAM-ZAM"" (МЕДИЦИНСКИЙ ЦЕНТР ""ЗАМ-ЗАМ"")""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65988,Нет,"г.Алматы, Медеуский район
г.Алматы, Медеуский район",Частные организации,г.Алматы,2021-11-12 12:29:13
65979,100740006817,"Товарищество с ограниченной ответственностью ""FASAB""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65979,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Алматы,2023-12-06 12:43:00
65638,160440032589,"Товарищество с ограниченной ответственностью ""Медицина орталығы Жанұя""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65638,Нет,"г.Астана, район Алматы
г.Астана, район Алматы
г.Астана, район Алматы",Частные организации,г.Астана,2018-02-07 00:00:00
65694,140440030707,"ТОО ""ИНВИВО ВДП""",https://fms.ecc.kz/ru/fsms/healthcare_subjects/view/65694,Нет,"г.Алматы, Алмалинский район",Частные организации,г.Астана,2022-04-19 16:13:33
