№ Участника,Наименование участника,Ссылка,"БИН (ИНН, УНП)",ИИН,РНН
396915,"Товарищество с ограниченной ответственностью ""Best Neuro""",https://fms.ecc.kz/ru/register/supplierreg/show/396915,240740028291,,
396835,"""Servıstik kompanıa ""Qurylysekolaın"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/396835,240140033602,,
396775,"Қазақстан Республикасы Қорғаныс министрлігінің ""Қазақстан Республикасының Ұлттық қорғаныс университеті"" республикалық мемлекеттік мекемесі",https://fms.ecc.kz/ru/register/supplierreg/show/396775,961240001096,,
396715,"Филиал Товарищество с ограниченной ответственностью ""Mediscan Group"" в городе Алматы",https://fms.ecc.kz/ru/register/supplierreg/show/396715,230941036233,,
396635,"Товарищество с ограниченной ответственностью ""АйМедТех""",https://fms.ecc.kz/ru/register/supplierreg/show/396635,250340008521,,
396595,"ТОО ""Лаборатория ""Тотал Диагностикс""""",https://fms.ecc.kz/ru/register/supplierreg/show/396595,170140032371,,
396535,"Товарищество с ограниченной ответственностью ""Miracle IVF Almaty""",https://fms.ecc.kz/ru/register/supplierreg/show/396535,210340008049,,
396495,ИП БОРИБАЕВА АЙГЕРИМ,https://fms.ecc.kz/ru/register/supplierreg/show/396495,,920814451117,
396455,"Товарищество с ограниченной ответственностью ""Сарвиноз-С""",https://fms.ecc.kz/ru/register/supplierreg/show/396455,090140007918,,
396395,ИП КУТЫБАЕВ ЕРКИНБАЙ,https://fms.ecc.kz/ru/register/supplierreg/show/396395,,990205300603,
396355,ИП Ерке,https://fms.ecc.kz/ru/register/supplierreg/show/396355,,731224301219,
396315,ИП БАЛТАГАРАЕВА ЖУЛДУЗ,https://fms.ecc.kz/ru/register/supplierreg/show/396315,,710304402442,
396255,"Товарищество с ограниченной ответственностью ""Bolashak Qyzylorda Medical Clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/396255,240340021626,,
396195,"Товарищество с ограниченной ответственностью ""Ada company""",https://fms.ecc.kz/ru/register/supplierreg/show/396195,230440032118,,
396135,"Товарищество с ограниченной ответственностью ""Vega мебель""",https://fms.ecc.kz/ru/register/supplierreg/show/396135,030840010536,,
396095,"""ТЫНЫШТЫҚ-777"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/396095,250140007932,,
396055,ИП ЭРНАЗАРОВА ЖУЛДЫЗАЙ,https://fms.ecc.kz/ru/register/supplierreg/show/396055,,830606001006,
395955,"Товарищество с ограниченной ответственностью ""Азия-Строй КВ""",https://fms.ecc.kz/ru/register/supplierreg/show/395955,060940002069,,
395815,"Қазақстан Республикасы Қорғаныс министрлігінің ""31767 әскери бөлімі"" республикалық мемлекеттік мекемесі",https://fms.ecc.kz/ru/register/supplierreg/show/395815,990240008938,,
395775,"Товарищество с ограниченной ответственностью ""HD-MED""",https://fms.ecc.kz/ru/register/supplierreg/show/395775,240840010503,,
395735,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Алихан""",https://fms.ecc.kz/ru/register/supplierreg/show/395735,030740011035,,
395615,"Товарищество с ограниченной ответственностью ""АРША""",https://fms.ecc.kz/ru/register/supplierreg/show/395615,940340000203,,
395575,"Филиал ""MGM-STAN-Шымкент"" Товарищества с ограниченной ответственностью ""MGM-STAN"" (""МГМ-СТАН"") в городе Шымкент",https://fms.ecc.kz/ru/register/supplierreg/show/395575,120841003280,,
395475,"Товарищество с ограниченной ответственностью ""Green Vita Ciinic""",https://fms.ecc.kz/ru/register/supplierreg/show/395475,070240016828,,
395435,"Товарищество с ограниченной ответственностью ""VetMed""",https://fms.ecc.kz/ru/register/supplierreg/show/395435,191240013048,,
395315,"""АстраЗенека Казахстан"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/395315,230940013516,,
395215,"Товарищество с ограниченной ответственностью ""Pharma Trade""",https://fms.ecc.kz/ru/register/supplierreg/show/395215,181240027501,,
395175,"Товарищество с ограниченной ответственностью ""АЙЯ- ФАРМ ӘЛЕМІ""",https://fms.ecc.kz/ru/register/supplierreg/show/395175,131240000818,,
395055,"Товарищество с ограниченной ответственностью ""АЛТЫНСАҚА""",https://fms.ecc.kz/ru/register/supplierreg/show/395055,020640002219,,
394995,"Товарищество с ограниченной ответственностью ""МУКУШЕВЫ и К""",https://fms.ecc.kz/ru/register/supplierreg/show/394995,171240008107,,
394915,"Товарищество с ограниченной ответственностью ""Медлюкс""",https://fms.ecc.kz/ru/register/supplierreg/show/394915,191140009383,,
394815,"Товарищество с ограниченной ответственностью ""Жетысу Казахстан""",https://fms.ecc.kz/ru/register/supplierreg/show/394815,230940024600,,
394695,"Товарищество с ограниченной ответственностью ""AESTHETIC DENTAL CLINIC""",https://fms.ecc.kz/ru/register/supplierreg/show/394695,211140027566,,
394635,"Товарищество с ограниченной ответственностью ""Асет-Дент""",https://fms.ecc.kz/ru/register/supplierreg/show/394635,050640002214,,
394595,"""Sayram Meditec"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/394595,241240029780,,
394555,"Товарищество с ограниченной ответственностью ""Tarlankok Pharm""",https://fms.ecc.kz/ru/register/supplierreg/show/394555,200640011543,,
394515,"Товарищество с ограниченной ответственностью ""АВИЦЕНА-ЛТД""",https://fms.ecc.kz/ru/register/supplierreg/show/394515,060440010031,,
394455,"""DOSZHAN GROUP"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/394455,231140031508,,
394395,"филиал Товарищества с ограниченной ответственностью ""Olymp Medical Group"" в области Абай",https://fms.ecc.kz/ru/register/supplierreg/show/394395,230341013044,,
394355,"""TreeGene"" товарищество с ограниченной ответственностью",https://fms.ecc.kz/ru/register/supplierreg/show/394355,101240003649,,
394295,ИП СУЛТАНОВА КАМШАТ,https://fms.ecc.kz/ru/register/supplierreg/show/394295,,800317400949,
394255,"""Stell Medical Systems"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/394255,200740008507,,
394175,"Товарищество с ограниченной ответственностью ""Q-BAT""",https://fms.ecc.kz/ru/register/supplierreg/show/394175,190740016682,,
394135,"""БиоВид"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/394135,240340014455,,
394075,"Товарищество с ограниченной ответственностью ""MLab Expert""",https://fms.ecc.kz/ru/register/supplierreg/show/394075,241040019379,,
393935,"Товарищество с ограниченной ответственностью ""VEK ALSAN""",https://fms.ecc.kz/ru/register/supplierreg/show/393935,110440023520,,
393895,"Товарищество с ограниченной ответственностью ""Фармсервис лимитед""",https://fms.ecc.kz/ru/register/supplierreg/show/393895,000540003527,,
393775,"Товарищество с ограниченной ответственностью ""Сулеймен ата МедЦентр""",https://fms.ecc.kz/ru/register/supplierreg/show/393775,240440025553,,
393695,ШИЛОВА ВЕРА,https://fms.ecc.kz/ru/register/supplierreg/show/393695,,830102400152,
393635,"Товарищество с ограниченной ответственностью ""Кеrе-Med""",https://fms.ecc.kz/ru/register/supplierreg/show/393635,000840003786,,
393595,"""MedScience Group"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/393595,240340009230,,
393535,ТУЛЕМИСОВА КУРАЛАЙ,https://fms.ecc.kz/ru/register/supplierreg/show/393535,,871225450712,
393415,"Северо-Казахстанский филиал Товарищества с ограниченной ответственностью ""Olymp Medical Group""",https://fms.ecc.kz/ru/register/supplierreg/show/393415,181041032020,,
393355,ЗИЯТАЕВА АЙЖАН,https://fms.ecc.kz/ru/register/supplierreg/show/393355,,860226400043,
393315,ЕНДІБЕРГЕН МҰХТАР,https://fms.ecc.kz/ru/register/supplierreg/show/393315,,970605301088,
393255,ХОЖАЕВ СЕРІК,https://fms.ecc.kz/ru/register/supplierreg/show/393255,,920912301672,
393075,ИП АБДУРАИМОВ ХУСАН,https://fms.ecc.kz/ru/register/supplierreg/show/393075,,761116300080,
393015,"Товарищество с ограниченной ответственностью ""INSIDE BUSINESS GROUP""",https://fms.ecc.kz/ru/register/supplierreg/show/393015,190640023542,,
392955,ИП АСКАРОВ СЕРИК,https://fms.ecc.kz/ru/register/supplierreg/show/392955,,680524302666,
392935,"Товарищество с ограниченной ответственностью ""Beketova""",https://fms.ecc.kz/ru/register/supplierreg/show/392935,191140017037,,
392855,"ИП ""АК Ару""",https://fms.ecc.kz/ru/register/supplierreg/show/392855,,860226400043,
392795,"Товарищество с ограниченной ответственностью ""Kiba Group""",https://fms.ecc.kz/ru/register/supplierreg/show/392795,250140002872,,
392735,"""Arystan Medical"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/392735,241240033252,,
392695,ИП БАЙТАКОВ РЕНАТ,https://fms.ecc.kz/ru/register/supplierreg/show/392695,,850401351308,
392615,"Товарищество с ограниченной ответственностью ""AG Clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/392615,180240034482,,
392535,"Товарищество с ограниченной ответственностью ""СП Торговый Дом ""Беларусь""",https://fms.ecc.kz/ru/register/supplierreg/show/392535,140440031953,,
392395,"Товарищество с ограниченной ответственностью ""Daryn pulse clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/392395,241040017779,,
392335,"Товарищество с ограниченной ответственностью ""КазМедбиотех""",https://fms.ecc.kz/ru/register/supplierreg/show/392335,180340009049,,
392295,"Товарищество с ограниченной ответственностью ""Жаңа-фарм Астана""",https://fms.ecc.kz/ru/register/supplierreg/show/392295,150440008188,,
392215,"""BAI$TOM"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/392215,231240028968,,
392155,"Жауапкершілігі шектеулі серіктестігі ""ELMUS""",https://fms.ecc.kz/ru/register/supplierreg/show/392155,130140014950,,
392075,"Товарищество с ограниченной ответственностью ""BADDY Medical""",https://fms.ecc.kz/ru/register/supplierreg/show/392075,221240021364,,
392015,"Товарищество с ограниченной ответственностью ""Научно исследовательский институт здоровья ЭМИРМЕД""",https://fms.ecc.kz/ru/register/supplierreg/show/392015,230340034051,,
391975,"Товарищество с ограниченной ответственностью ""Научно-Исследовательский Медицинский институт ЭМИРМЕД""",https://fms.ecc.kz/ru/register/supplierreg/show/391975,220540012412,,
391915,"Товарищество с ограниченной ответственностью ""PharmOrit""",https://fms.ecc.kz/ru/register/supplierreg/show/391915,211240021590,,
391875,"Товарищество с ограниченной ответственностью ""Лечебно-диагностический центр ЭМИРМЕД""",https://fms.ecc.kz/ru/register/supplierreg/show/391875,231040019614,,
391835,"Товарищество с ограниченной ответственностью ""Диагностический центр Эмирмед в г.Алматы""",https://fms.ecc.kz/ru/register/supplierreg/show/391835,240240024141,,
391795,"Товарищество с ограниченной ответственностью ""АлтайМедика""",https://fms.ecc.kz/ru/register/supplierreg/show/391795,200140005602,,
391735,ИП Ансар-ФАРМ 3161,https://fms.ecc.kz/ru/register/supplierreg/show/391735,,920115350599,
391695,ИП САБИЕВА ГУЛЬНАР,https://fms.ecc.kz/ru/register/supplierreg/show/391695,,611115401545,
391655,"Товарищество с ограниченной ответственностью ""Аурамедик""",https://fms.ecc.kz/ru/register/supplierreg/show/391655,080640001955,,
391555,ИП АЯПБЕРГЕНОВА КОРЛАН,https://fms.ecc.kz/ru/register/supplierreg/show/391555,,571010450136,
391515,ИП КОМЕК,https://fms.ecc.kz/ru/register/supplierreg/show/391515,,890225451078,
391475,"Товарищество с ограниченной ответственностью ""Pharmgroup""",https://fms.ecc.kz/ru/register/supplierreg/show/391475,150240018792,,
391395,"Товарищество с ограниченной ответственностью ""DA.Pharm""",https://fms.ecc.kz/ru/register/supplierreg/show/391395,241140009860,,
390855,ИП Узи line,https://fms.ecc.kz/ru/register/supplierreg/show/390855,,740612400929,
390795,"Товарищество с ограниченной ответственностью ""Turnkey engineering""",https://fms.ecc.kz/ru/register/supplierreg/show/390795,250140007813,,
390755,"Товарищество с ограниченной ответственностью ""KM-QAMQOR""",https://fms.ecc.kz/ru/register/supplierreg/show/390755,230840042127,,
390715,"Товарищество с ограниченной ответственностью ""Red Techno Group""",https://fms.ecc.kz/ru/register/supplierreg/show/390715,240340006961,,
390655,"Товарищество с ограниченной ответственностью ""Aelita FC""",https://fms.ecc.kz/ru/register/supplierreg/show/390655,131140010316,,
390595,ИП ТУЛЕМИСОВА КУРАЛАЙ,https://fms.ecc.kz/ru/register/supplierreg/show/390595,,871225450712,
390575,"Товарищество с ограниченной ответственностью ""Медкомплект""",https://fms.ecc.kz/ru/register/supplierreg/show/390575,140340008767,,
390495,"Товарищество с ограниченной ответственностью ""Light med clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/390495,241240032284,,
390435,"Товарищество с ограниченной ответственностью ""MSSlab""",https://fms.ecc.kz/ru/register/supplierreg/show/390435,190140032583,,
390395,"Товарищество с ограниченной ответственностью ""AVEO MED» (АВЕО МЕД)""",https://fms.ecc.kz/ru/register/supplierreg/show/390395,220740013725,,
390295,"Товарищество с ограниченной ответственностью ""We medical""",https://fms.ecc.kz/ru/register/supplierreg/show/390295,181040019662,,
390235,"Товарищество с ограниченной ответственностью ""ДИВИЯ""",https://fms.ecc.kz/ru/register/supplierreg/show/390235,140540024350,,
390175,ИП БАЛАЕВ ПАВЕЛ,https://fms.ecc.kz/ru/register/supplierreg/show/390175,,560504301569,
390135,"Товарищество с ограниченной ответственностью ""ВЕРАЛАЙН""",https://fms.ecc.kz/ru/register/supplierreg/show/390135,240840031344,,
389995,"Товарищество с ограниченной ответственностью ""Zangar Farm Kz""",https://fms.ecc.kz/ru/register/supplierreg/show/389995,241240005445,,
389955,"Товарищество с ограниченной ответственностью ""Ai-böbek clinic""",https://fms.ecc.kz/ru/register/supplierreg/show/389955,240940022547,,
389895,"Товарищество с ограниченной ответственностью ""ФАРМАТЕКА""",https://fms.ecc.kz/ru/register/supplierreg/show/389895,030640000214,,
389755,"""Denta + SK"" жауапкершілігі шектеулі серіктестігі",https://fms.ecc.kz/ru/register/supplierreg/show/389755,240540031195,,
389695,"Товарищество с ограниченной ответственностью ""ZeroMax Ltd""",https://fms.ecc.kz/ru/register/supplierreg/show/389695,160640019320,,
