№,Организатор,Название объявления,Способ закупки,Вид предмета закупки,Дата начала приема заявок,Дата окончания приема заявок,Кол-во лотов,Сумма объявления,Статус
497356-1,"ФИЛИАЛ ПО КАРАГАНДИНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 год - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-03-20 18:00:00,2025-03-26 18:00:00,8,1 733 074 760.53,Опубликовано (прием заявок)
497336-1,Филиал по Акмолинской области некоммерческого акционерного общества «Фонд социального медицинского страхования»,"[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 год - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-03-19 19:00:00,2025-03-26 10:00:00,4,883 026 017.94,Опубликовано (прием заявок)
497316-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственных средств на 2025 год
2025 жылға арналған дәрілік заттарды сатып алу",Тендер,Товар,2025-03-19 09:00:00,2025-03-31 10:00:00,2,42 606 533.12,Опубликовано (прием заявок)
497296-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп медицинских изделий на 2025 год по Долгосрочному договору поставки изделий медицинского назначения №ДД-14/17 ТОО «Super-pharm» от 2 августа 2017 года
2025 жылға арналған медициналық бұйымдарды сатып алу «Super-pharm» ЖШС-нің 2017 жылғы 2 тамыздағы №ДД-14/17 медициналық мақсаттағы бұйымдарды жеткізуге арналған ұзақ мерзімді шарты бойынша.",Из одного источника,Товар,2025-03-19 10:00:00,2025-03-31 10:00:00,1,479 220.00,Завершено
497216-1,"""ӘЛЕУМЕТТІК МЕДИЦИНАЛЫҚ САҚТАНДЫРУ ҚОРЫ"" КОММЕРЦИЯЛЫҚ ЕМЕС АКЦИОНЕРЛІК ҚОҒАМЫНЫҢ ҚЫЗЫЛОРДА ОБЛЫСЫ БОЙЫНША ФИЛИАЛЫ","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения/
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-03-13 18:10:00,2025-03-14 18:30:00,1,172 008 324.00,Завершено
497196-1,"ФИЛИАЛ ПО ГОРОДУ АСТАНА НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-03-13 17:05:00,2025-03-17 10:00:00,1,1 018 460 000.00,Рассмотрение заявок
497176-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-03-17 09:00:00,2025-03-20 10:00:00,1,3 788 337.60,Завершено
497136-1,"ФИЛИАЛ ПО ТУРКЕСТАНСКОЙ ОБЛАСТИ НЕКОММЕРЧЕСКОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ФОНД СОЦИАЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ""","[2025 год – ГОБМП и ОСМС] Объявление о проведении процедуры размещения объемов медицинской помощи в рамках гарантированного объема бесплатной медицинской помощи и (или) в системе обязательного социального медицинского страхования среди субъектов здравоохранения, включенных в базу данных субъектов здравоохранения
[2025 жыл - ТМККК және МӘМС] Денсаулық сақтау субъектілерінің дерекқорына енгізілген денсаулық сақтау субъектілері арасында тегін медициналық көмектің кепілдік берілген көлемі шеңберінде және (немесе) міндетті әлеуметтік медициналық сақтандыру жүйесінде медициналық көмек көлемін орналастыру рәсімін жүргізу туралы хабарландыру",Закуп медицинских услуг,Услуга,2025-03-11 12:40:00,2025-03-13 12:40:00,4,2 644 379 823.40,Завершено
497096-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп лекарственного средства на 2025 год
2025 жылға арналған дәрілік затты сатып алу",Тендер,Товар,2025-03-06 09:00:00,2025-03-13 10:00:00,1,219 182 000.00,Завершено
496976-1,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-ФАРМАЦИЯ""","Закуп медицинских изделий на 2025 год по Долгосрочному договору поставки изделий медицинского назначения от 2 августа 2017 года №ДД-17/17 ТОО «БО-НА»
2017 жылғы 2 тамыздағы №ДД-17/17 медициналық мақсаттағы бұйымдарды жеткізудің ұзақ мерзімді шарты бойынша «БО-НА» ЖШС 2025 жылға арналған медициналық бұйымдарды сатып алу",Из одного источника,Товар,2025-03-04 10:00:00,2025-03-12 10:00:00,3,46 336 700.00,Завершено
