№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
397315,"""DOFAMIN CLINIC"" жауапкершілігі шектеулі серіктестігі",241240000503,,
397275,"Товарищество с ограниченной ответственностью ""YERSIN group""",240140015654,,
397235,"""НұрТұрсын"" жауапкершілігі шектеулі серіктестігі",001240004309,,
397135,"Товарищество с ограниченной ответственностью ""Yelcom""",180140026130,,
397075,"ТОО ""CK Health center""",241240010997,,
397035,"Товарищество с ограниченной ответственностью ""Axonomed""",240640000585,,
396955,"Товарищество с ограниченной ответственностью ""MetaMed""",130540014599,,
396915,"Товарищество с ограниченной ответственностью ""Best Neuro""",240740028291,,
396835,"""Servıstik kompanıa ""Qurylysekolaın"" жауапкершілігі шектеулі серіктестігі",240140033602,,
396775,"Қазақстан Республикасы Қорғаныс министрлігінің ""Қазақстан Республикасының Ұлттық қорғаныс университеті"" республикалық мемлекеттік мекемесі",961240001096,,
396715,"Филиал Товарищество с ограниченной ответственностью ""Mediscan Group"" в городе Алматы",230941036233,,
396635,"Товарищество с ограниченной ответственностью ""АйМедТех""",250340008521,,
396595,"ТОО ""Лаборатория ""Тотал Диагностикс""""",170140032371,,
396535,"Товарищество с ограниченной ответственностью ""Miracle IVF Almaty""",210340008049,,
396495,ИП БОРИБАЕВА АЙГЕРИМ,,920814451117,
396455,"Товарищество с ограниченной ответственностью ""Сарвиноз-С""",090140007918,,
396395,ИП КУТЫБАЕВ ЕРКИНБАЙ,,990205300603,
396355,ИП Ерке,,731224301219,
396315,ИП БАЛТАГАРАЕВА ЖУЛДУЗ,,710304402442,
396255,"Товарищество с ограниченной ответственностью ""Bolashak Qyzylorda Medical Clinic""",240340021626,,
396195,"Товарищество с ограниченной ответственностью ""Ada company""",230440032118,,
396135,"Товарищество с ограниченной ответственностью ""Vega мебель""",030840010536,,
396095,"""ТЫНЫШТЫҚ-777"" жауапкершілігі шектеулі серіктестігі",250140007932,,
396055,ИП ЭРНАЗАРОВА ЖУЛДЫЗАЙ,,830606001006,
395955,"Товарищество с ограниченной ответственностью ""Азия-Строй КВ""",060940002069,,
395815,"Қазақстан Республикасы Қорғаныс министрлігінің ""31767 әскери бөлімі"" республикалық мемлекеттік мекемесі",990240008938,,
395775,"Товарищество с ограниченной ответственностью ""HD-MED""",240840010503,,
395735,"Товарищество с ограниченной ответственностью ""Медицинский центр ""Алихан""",030740011035,,
395615,"Товарищество с ограниченной ответственностью ""АРША""",940340000203,,
395575,"Филиал ""MGM-STAN-Шымкент"" Товарищества с ограниченной ответственностью ""MGM-STAN"" (""МГМ-СТАН"") в городе Шымкент",120841003280,,
395475,"Товарищество с ограниченной ответственностью ""Green Vita Ciinic""",070240016828,,
395435,"Товарищество с ограниченной ответственностью ""VetMed""",191240013048,,
395315,"""АстраЗенека Казахстан"" жауапкершілігі шектеулі серіктестігі",230940013516,,
395215,"Товарищество с ограниченной ответственностью ""Pharma Trade""",181240027501,,
395175,"Товарищество с ограниченной ответственностью ""АЙЯ- ФАРМ ӘЛЕМІ""",131240000818,,
395055,"Товарищество с ограниченной ответственностью ""АЛТЫНСАҚА""",020640002219,,
394995,"Товарищество с ограниченной ответственностью ""МУКУШЕВЫ и К""",171240008107,,
394915,"Товарищество с ограниченной ответственностью ""Медлюкс""",191140009383,,
394815,"Товарищество с ограниченной ответственностью ""Жетысу Казахстан""",230940024600,,
394695,"Товарищество с ограниченной ответственностью ""AESTHETIC DENTAL CLINIC""",211140027566,,
394635,"Товарищество с ограниченной ответственностью ""Асет-Дент""",050640002214,,
394595,"""Sayram Meditec"" жауапкершілігі шектеулі серіктестігі",241240029780,,
394555,"Товарищество с ограниченной ответственностью ""Tarlankok Pharm""",200640011543,,
394515,"Товарищество с ограниченной ответственностью ""АВИЦЕНА-ЛТД""",060440010031,,
394455,"""DOSZHAN GROUP"" жауапкершілігі шектеулі серіктестігі",231140031508,,
394395,"филиал Товарищества с ограниченной ответственностью ""Olymp Medical Group"" в области Абай",230341013044,,
394355,"""TreeGene"" товарищество с ограниченной ответственностью",101240003649,,
394295,ИП СУЛТАНОВА КАМШАТ,,800317400949,
394255,"""Stell Medical Systems"" жауапкершілігі шектеулі серіктестігі",200740008507,,
394175,"Товарищество с ограниченной ответственностью ""Q-BAT""",190740016682,,
394135,"""БиоВид"" жауапкершілігі шектеулі серіктестігі",240340014455,,
394075,"Товарищество с ограниченной ответственностью ""MLab Expert""",241040019379,,
393935,"Товарищество с ограниченной ответственностью ""VEK ALSAN""",110440023520,,
393895,"Товарищество с ограниченной ответственностью ""Фармсервис лимитед""",000540003527,,
393775,"Товарищество с ограниченной ответственностью ""Сулеймен ата МедЦентр""",240440025553,,
393695,ШИЛОВА ВЕРА,,830102400152,
