Регион,Код или название услуги,Результат (текст)
область Абай,A01.010.000 - Прием: Медицинская сестра со средним образованием,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,A02.043.000 - Консультация: Анестезиолог-реаниматолог,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,A02.055.000 - Консультация: Стоматолог-терапевт,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,A02.056.000 - Консультация: Стоматолог-хирург,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,C01.013.001 - Эндоскопическая интубация трахеи,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,C03.004.005 - Рентгенография черепа (2 проекции),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,C03.005.005 - Рентгенография черепа (1 проекция),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
область Абай,C03.012.005 - Рентгенография челюсти (1 проекция),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,C03.013.005 - Рентгенография челюсти (2 проекциии),"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,C03.014.005 - Рентгенография зуба внутриротовая,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,D00.121.027 - Ингаляционный наркоз для детей,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,D00.121.028 - Ингаляционный наркоз для взрослых,"БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42"
область Абай,"D03.003.001 - Лечение пульпита моляра, завершенное пломбой из КМХО","БИН поставщика Поставщик Адрес производственной базы 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" 071400, РК, область Абай, город Семей, улица Кабанбай батыра, 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, дом 42, кв.вс1. 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 140640003300 ТОО ""WHITE DENT"" ТОО, РК, область Абай, город Семей, улица Кабанбай батыра, 42 190840012009 ТОО ""ECO STOM"" 071400, РК, область Абай, , город Семей, улица Кабанбай батыра, дом 42, н.п. 1"
